second,Volt
+9.06250E-09,+4.40043262037216E+00
+9.14062E-09,+4.40043262037216E+00
+9.21875E-09,+4.40043262037216E+00
+9.29687E-09,+4.40043262037216E+00
+9.37500E-09,+4.40043262037216E+00
+9.45312E-09,+4.40043262037216E+00
+9.53125E-09,+4.40043262037216E+00
+9.60937E-09,+4.40043262037216E+00
+9.68750E-09,+4.40043262037216E+00
+9.76562E-09,+4.40043262037216E+00
+9.84375E-09,+4.40043262037216E+00
+9.92187E-09,+4.40043262037216E+00
+10.00000E-09,+4.40043262037216E+00
+10.07812E-09,+4.40043262037216E+00
+10.15625E-09,+4.40043262037216E+00
+10.23437E-09,+4.40043262037216E+00
+10.31250E-09,+4.40043262037216E+00
+10.39062E-09,+4.40043262037216E+00
+10.46875E-09,+4.40043262037216E+00
+10.54687E-09,+4.40043262037216E+00
+10.62500E-09,+4.40043262037216E+00
+10.70312E-09,+4.40043262037216E+00
+10.78125E-09,+4.40043262037216E+00
+10.85937E-09,+4.40043262037216E+00
+10.93750E-09,+4.40043262037216E+00
+11.01562E-09,+4.40043262037216E+00
+11.09375E-09,+4.40043262037216E+00
+11.17187E-09,+4.40043262037216E+00
+11.25000E-09,+4.40043262037216E+00
+11.32812E-09,+4.40043262037216E+00
+11.40625E-09,+4.40043262037216E+00
+11.48437E-09,+4.40043262037216E+00
+11.56250E-09,+4.40043262037216E+00
+11.64062E-09,+4.40043262037216E+00
+11.71875E-09,+4.40043262037216E+00
+11.79687E-09,+4.40043262037216E+00
+11.87500E-09,+4.40043262037216E+00
+11.95312E-09,+4.40043262037216E+00
+12.03125E-09,+4.40043262037216E+00
+12.10937E-09,+4.40043262037216E+00
+12.18750E-09,+4.40043262037216E+00
+12.26562E-09,+4.40043262037216E+00
+12.34375E-09,+4.40043262037216E+00
+12.42187E-09,+4.40043262037216E+00
+12.50000E-09,+4.40043262037216E+00
+12.57812E-09,+4.40043262037216E+00
+12.65625E-09,+4.40043262037216E+00
+12.73437E-09,+4.40043262037216E+00
+12.81250E-09,+4.40043262037216E+00
+12.89062E-09,+4.40043262037216E+00
+12.96875E-09,+4.40043262037216E+00
+13.04687E-09,+4.40043262037216E+00
+13.12500E-09,+4.40043262037216E+00
+13.20312E-09,+4.40043262037216E+00
+13.28125E-09,+4.40043262037216E+00
+13.35937E-09,+4.40043262037216E+00
+13.43750E-09,+4.40043262037216E+00
